district,property_type,built_area_sqft,plot_area_sqft,bedrooms,bathrooms,age_of_property_yrs,sale_price_rs,latitude,longitude,ownership_type,distance_to_city_center_km,nearest_school_distance_km,metro_distance_km,flood_risk_score,road_access_width_ft,district_taluk
Ariyalur,house,1550,2373.92,1,1,0,4994118.8,12.9545,79.52526,leasehold,4.33,3.25,18.73,0.55,57,Ariyalur_Taluk_3
Ariyalur,flat,887,887.0,1,1,0,3779674.53,11.70144,77.84398,freehold,18.58,5.99,20.29,0.54,12,Ariyalur_Taluk_4
Ariyalur,flat,3547,3547.0,5,6,36,7153864.09,13.09912,77.3996,freehold,8.88,1.83,7.35,0.5,39,Ariyalur_Taluk_10
Ariyalur,commercial,2173,2465.71,3,2,11,5829792.82,12.07745,77.7623,leasehold,19.2,8.26,13.66,0.5,39,Ariyalur_Taluk_3
Ariyalur,plot,756,1000.09,1,1,9,2926295.76,11.8869,77.95366,freehold,22.22,3.35,5.38,0.34,28,Ariyalur_Taluk_4
Ariyalur,commercial,2889,4592.13,4,3,4,10819184.52,12.5309,79.81103,freehold,15.59,9.5,28.61,0.43,37,Ariyalur_Taluk_4
Ariyalur,plot,1295,1929.61,2,3,19,3940643.4,8.47487,79.43864,freehold,10.01,6.79,16.46,0.35,52,Ariyalur_Taluk_7
Ariyalur,plot,2036,4916.8,3,4,0,8692903.51,8.72285,80.18752,freehold,22.68,2.76,6.73,0.58,40,Ariyalur_Taluk_9
Ariyalur,house,3773,4722.9,5,4,50,7194413.68,10.44664,79.26847,freehold,8.75,6.9,14.63,0.4,19,Ariyalur_Taluk_5
Ariyalur,house,2025,3319.53,3,3,50,3408433.53,11.21358,77.46795,freehold,3.4,7.27,20.72,0.1,38,Ariyalur_Taluk_9
Ariyalur,flat,3847,3847.0,5,4,20,13166265.48,10.0668,76.7659,freehold,13.93,4.81,19.21,0.27,44,Ariyalur_Taluk_9
Ariyalur,house,1522,3207.85,2,2,48,3184690.19,9.72174,77.67528,freehold,8.85,9.38,26.46,0.3,58,Ariyalur_Taluk_6
Ariyalur,flat,1948,1948.0,2,1,34,4022524.37,9.13594,79.02673,freehold,22.61,5.55,25.66,0.47,31,Ariyalur_Taluk_5
Ariyalur,plot,796,1328.13,1,2,48,1267718.6,12.60212,77.65472,freehold,23.98,8.62,13.87,0.49,37,Ariyalur_Taluk_3
Ariyalur,plot,1117,1955.85,1,2,46,1871266.4,10.48766,77.31207,freehold,2.75,6.42,18.84,0.55,30,Ariyalur_Taluk_10
Ariyalur,house,3955,5921.83,4,5,15,13586432.89,11.68481,78.85319,freehold,2.73,5.45,6.44,0.58,40,Ariyalur_Taluk_3
Ariyalur,plot,1033,1461.18,1,2,22,2995297.85,9.1753,76.59282,freehold,17.79,9.72,22.2,0.34,53,Ariyalur_Taluk_4
Ariyalur,commercial,3360,5645.53,4,4,6,11238001.66,11.50073,77.23885,freehold,5.95,4.57,27.3,0.35,11,Ariyalur_Taluk_2
Ariyalur,flat,1940,1940.0,2,1,37,5259659.46,11.64271,76.52107,freehold,9.67,4.34,25.32,0.49,16,Ariyalur_Taluk_4
Ariyalur,commercial,616,866.33,1,1,30,1566128.93,12.44219,79.14446,freehold,9.76,7.35,11.22,0.38,28,Ariyalur_Taluk_2
Ariyalur,commercial,438,563.56,1,2,44,737482.35,10.60907,78.5183,freehold,11.98,1.51,7.97,0.26,50,Ariyalur_Taluk_2
Ariyalur,commercial,2358,5335.67,2,3,12,6862963.65,11.05851,79.90939,freehold,10.31,5.3,7.07,0.34,42,Ariyalur_Taluk_8
Ariyalur,flat,1333,1333.0,1,1,43,3260965.27,12.63526,77.55378,freehold,14.12,3.9,6.09,0.34,30,Ariyalur_Taluk_5
Ariyalur,plot,602,1032.92,1,1,35,1458768.22,11.95314,77.39108,freehold,24.25,5.71,20.73,0.55,23,Ariyalur_Taluk_4
Ariyalur,flat,1566,1566.0,1,1,2,6429971.1,8.91449,77.95553,freehold,1.61,3.53,28.76,0.21,17,Ariyalur_Taluk_2
Ariyalur,commercial,757,1183.37,1,1,7,2264945.48,10.61599,76.73661,freehold,16.35,4.49,10.73,0.29,37,Ariyalur_Taluk_7
Ariyalur,house,3179,7309.87,3,2,35,8891226.76,12.23421,77.94545,freehold,17.6,5.82,12.74,0.28,29,Ariyalur_Taluk_10
Ariyalur,commercial,2908,5390.0,4,3,12,10755053.43,12.06702,79.5395,leasehold,20.65,9.55,23.14,0.34,56,Ariyalur_Taluk_7
Ariyalur,commercial,2344,4172.08,3,3,29,6895143.61,10.19983,79.04172,freehold,1.61,1.24,14.41,0.46,10,Ariyalur_Taluk_5
Ariyalur,flat,2593,2593.0,4,5,48,4709163.66,13.3959,78.52967,leasehold,18.86,4.54,25.73,0.4,58,Ariyalur_Taluk_8
Ariyalur,house,1884,3767.72,2,2,40,4005169.99,8.83278,78.25445,freehold,7.2,1.51,26.62,0.29,26,Ariyalur_Taluk_1
Chengalpattu,commercial,3156,4915.74,3,2,37,4802478.33,12.21064,77.94068,freehold,14.84,1.51,3.83,0.52,28,Chengalpattu_Taluk_4
Chengalpattu,house,1568,2757.22,1,1,8,2620736.45,12.14473,76.69793,leasehold,23.87,1.29,1.3,0.21,58,Chengalpattu_Taluk_5
Chengalpattu,house,887,1912.31,2,2,27,1245328.99,13.2279,77.25757,freehold,1.04,1.1,2.49,0.18,12,Chengalpattu_Taluk_2
Chengalpattu,commercial,3777,7694.66,5,4,43,4621032.49,11.14544,77.32827,freehold,21.98,0.93,0.84,0.48,56,Chengalpattu_Taluk_3
Chengalpattu,house,3366,7367.87,4,3,20,5941168.62,8.98434,77.68195,freehold,20.22,1.83,3.16,0.56,43,Chengalpattu_Taluk_3
Chengalpattu,commercial,3253,5384.74,5,5,17,5447547.22,11.96108,76.78879,freehold,11.22,1.83,1.87,0.41,47,Chengalpattu_Taluk_10
Chengalpattu,plot,3952,9051.7,5,6,29,6153734.43,11.34222,76.96001,leasehold,21.63,1.91,0.91,0.49,26,Chengalpattu_Taluk_2
Chengalpattu,commercial,1753,3551.81,2,1,33,2574698.83,8.47237,78.96066,freehold,9.01,0.58,2.98,0.31,20,Chengalpattu_Taluk_6
Chengalpattu,house,2306,3936.19,2,1,22,3266179.49,10.05582,79.88799,freehold,4.22,0.45,3.28,0.18,49,Chengalpattu_Taluk_8
Chengalpattu,plot,3347,6567.74,5,4,2,7825334.01,13.06594,79.44364,freehold,13.12,1.95,3.09,0.51,28,Chengalpattu_Taluk_3
Chengalpattu,plot,1428,2215.15,2,2,21,2014634.21,9.42567,80.05156,freehold,3.46,1.03,1.19,0.33,43,Chengalpattu_Taluk_10
Chengalpattu,commercial,2368,3720.02,3,3,44,2603971.05,10.76926,77.73505,freehold,2.76,1.07,3.5,0.28,39,Chengalpattu_Taluk_8
Chengalpattu,plot,506,754.71,1,1,16,820124.78,11.31924,79.84441,freehold,20.25,1.55,1.09,0.36,24,Chengalpattu_Taluk_5
Chengalpattu,house,702,1009.4,1,1,13,1337642.35,10.29471,78.60967,freehold,9.54,1.03,3.79,0.34,23,Chengalpattu_Taluk_4
Chengalpattu,commercial,3146,6952.99,4,5,6,6632555.77,8.60249,77.34207,freehold,21.19,1.55,0.35,0.25,27,Chengalpattu_Taluk_8
Chengalpattu,plot,3977,7009.72,5,6,50,3784613.57,10.96698,78.11691,freehold,7.1,0.88,0.3,0.27,26,Chengalpattu_Taluk_10
Chengalpattu,plot,1654,2529.42,3,3,43,1787684.4,9.34491,79.24088,freehold,8.9,1.05,1.9,0.47,50,Chengalpattu_Taluk_8
Chengalpattu,flat,2556,2556.0,4,5,35,3535848.89,9.26848,78.33995,freehold,14.88,1.54,2.27,0.59,28,Chengalpattu_Taluk_3
Chengalpattu,plot,2872,7101.64,3,3,25,4700090.83,12.59619,77.62574,freehold,6.49,1.1,1.79,0.25,42,Chengalpattu_Taluk_9
Chengalpattu,flat,1860,1860.0,3,2,5,3528851.79,9.58128,80.20232,freehold,12.45,1.73,0.62,0.45,39,Chengalpattu_Taluk_9
Chengalpattu,commercial,2030,2524.55,3,4,8,3323144.85,8.16623,77.58049,freehold,13.35,0.94,4.92,0.27,40,Chengalpattu_Taluk_3
Chengalpattu,plot,405,979.08,1,2,3,676545.48,10.67974,79.62404,freehold,24.39,1.08,3.67,0.14,11,Chengalpattu_Taluk_1
Chengalpattu,flat,1246,1246.0,1,1,50,1469309.14,8.90567,78.63879,freehold,5.52,1.94,3.61,0.6,29,Chengalpattu_Taluk_1
Chengalpattu,commercial,624,1216.08,1,1,11,1002863.2,12.37,77.35761,freehold,15.46,0.72,2.99,0.33,20,Chengalpattu_Taluk_2
Chengalpattu,plot,3982,9175.46,5,4,42,5015415.4,13.44617,77.66044,freehold,9.55,1.02,2.83,0.4,19,Chengalpattu_Taluk_8
Chengalpattu,flat,2619,2619.0,4,3,39,3732801.19,11.47778,77.50566,freehold,6.74,1.43,3.85,0.22,20,Chengalpattu_Taluk_2
Chengalpattu,house,3358,4429.69,5,5,34,4398198.37,10.30599,79.11961,freehold,23.27,1.7,4.83,0.12,23,Chengalpattu_Taluk_9
Chengalpattu,plot,2308,4810.29,3,4,8,3980534.28,10.55177,79.11206,leasehold,9.79,1.87,3.66,0.49,38,Chengalpattu_Taluk_5
Chengalpattu,flat,1272,1272.0,1,1,29,2120680.48,10.39575,78.56934,freehold,5.07,0.62,3.24,0.55,13,Chengalpattu_Taluk_10
Chengalpattu,house,1000,1183.49,1,1,24,1702115.08,12.38019,78.76117,freehold,11.57,1.48,4.52,0.56,47,Chengalpattu_Taluk_3
Chengalpattu,house,2288,4018.13,2,3,14,4248355.94,9.74209,78.02953,freehold,9.21,0.9,2.75,0.37,49,Chengalpattu_Taluk_8
Chengalpattu,house,2551,4941.93,3,4,50,2611732.79,12.90288,79.29123,freehold,8.65,1.51,3.53,0.11,24,Chengalpattu_Taluk_8
Chengalpattu,house,2046,5113.78,2,1,29,3487366.54,11.73032,77.52414,freehold,19.82,0.47,1.7,0.48,46,Chengalpattu_Taluk_4
Chengalpattu,commercial,3882,9248.87,4,3,3,8108215.89,9.08004,78.72425,freehold,19.18,1.78,1.84,0.35,47,Chengalpattu_Taluk_8
Chengalpattu,commercial,2332,3701.22,2,3,35,3133257.68,9.89987,79.04651,leasehold,15.3,1.1,2.79,0.26,38,Chengalpattu_Taluk_2
Chengalpattu,plot,2494,5056.88,4,3,1,4265099.34,10.26244,79.3899,freehold,15.16,1.22,3.64,0.14,36,Chengalpattu_Taluk_8
Chengalpattu,plot,2516,3175.92,4,5,9,4532530.94,12.27176,79.78666,freehold,6.07,0.96,1.58,0.1,52,Chengalpattu_Taluk_5
Chengalpattu,commercial,2843,4772.11,4,3,39,3649507.71,9.11295,77.87476,freehold,15.48,0.23,4.39,0.41,21,Chengalpattu_Taluk_9
Chengalpattu,flat,3451,3451.0,5,4,36,4987434.72,9.5421,76.99785,freehold,4.24,1.24,3.11,0.54,38,Chengalpattu_Taluk_1
Chengalpattu,house,3933,4485.26,5,4,21,7498913.39,11.50212,79.53739,freehold,3.51,0.62,0.99,0.26,45,Chengalpattu_Taluk_8
Chengalpattu,commercial,1605,1974.94,2,1,0,3823676.34,13.45819,79.96913,freehold,13.21,1.26,2.12,0.16,18,Chengalpattu_Taluk_1
Chengalpattu,commercial,1732,4166.7,2,2,25,2562615.2,9.67605,79.18056,freehold,10.26,1.17,4.62,0.34,11,Chengalpattu_Taluk_3
Chengalpattu,flat,3681,3681.0,4,4,26,5620614.9,10.56665,77.04964,freehold,6.0,1.01,0.88,0.4,33,Chengalpattu_Taluk_8
Chengalpattu,house,424,630.38,1,1,23,638575.59,12.36603,78.07678,leasehold,19.62,0.7,1.26,0.35,59,Chengalpattu_Taluk_3
Chengalpattu,plot,1892,4004.36,2,3,16,3896872.12,12.62237,78.70371,freehold,4.14,0.95,0.61,0.53,49,Chengalpattu_Taluk_1
Chengalpattu,commercial,3008,4762.19,3,2,31,3672258.21,11.08035,78.56503,freehold,18.87,0.58,4.51,0.26,41,Chengalpattu_Taluk_8
Chengalpattu,flat,3117,3117.0,3,2,44,3502440.92,11.18771,77.38754,freehold,21.0,1.26,1.61,0.12,56,Chengalpattu_Taluk_4
Chengalpattu,commercial,3457,5671.24,5,5,27,5262884.57,11.68392,79.61884,leasehold,12.68,1.58,0.69,0.35,17,Chengalpattu_Taluk_8
Chengalpattu,flat,3372,3372.0,4,5,2,6619559.08,10.81237,78.74269,leasehold,7.13,1.36,2.16,0.54,32,Chengalpattu_Taluk_1
Chengalpattu,house,454,833.69,1,1,6,947942.49,10.56741,79.24529,freehold,1.16,0.6,1.31,0.43,17,Chengalpattu_Taluk_8
Chengalpattu,house,3525,6194.44,4,5,36,4183609.2,13.3337,77.78653,freehold,16.49,0.63,0.68,0.42,41,Chengalpattu_Taluk_3
Chengalpattu,commercial,1511,3680.49,2,2,42,2149917.03,11.48472,79.87227,freehold,23.64,0.45,2.15,0.37,57,Chengalpattu_Taluk_6
Chengalpattu,house,2401,3430.26,3,3,6,5145906.17,11.79576,77.59204,freehold,21.28,0.42,4.41,0.15,38,Chengalpattu_Taluk_10
Chengalpattu,house,3147,5416.46,4,4,0,7371217.8,11.84761,79.93301,freehold,8.87,0.67,2.02,0.5,32,Chengalpattu_Taluk_2
Chengalpattu,plot,3590,5832.95,5,4,36,4665797.75,8.88608,78.51843,freehold,14.03,0.99,1.61,0.5,31,Chengalpattu_Taluk_5
Chengalpattu,flat,1787,1787.0,3,2,9,3496472.07,8.52643,79.80919,freehold,24.64,1.05,1.07,0.22,59,Chengalpattu_Taluk_3
Chengalpattu,flat,3586,3586.0,4,4,8,7032707.34,9.35382,78.92404,freehold,16.02,0.66,0.87,0.43,52,Chengalpattu_Taluk_10
Chengalpattu,plot,2941,6025.1,4,4,28,3915705.92,8.95307,78.17857,freehold,7.17,0.23,4.59,0.39,30,Chengalpattu_Taluk_8
Chengalpattu,plot,2489,4329.79,4,3,37,2774535.43,9.73146,80.29762,leasehold,10.43,1.1,3.66,0.15,51,Chengalpattu_Taluk_7
Chengalpattu,plot,741,1411.41,1,2,30,1237308.26,13.46054,77.62188,leasehold,15.14,1.28,3.39,0.43,16,Chengalpattu_Taluk_7
Chengalpattu,house,3353,6344.88,4,3,25,5097110.85,11.80332,79.32974,freehold,19.39,0.96,1.9,0.4,52,Chengalpattu_Taluk_5
Chengalpattu,plot,3266,7139.6,4,5,25,4336142.81,9.34264,79.54734,freehold,21.01,0.99,4.59,0.2,48,Chengalpattu_Taluk_8
Chengalpattu,flat,3191,3191.0,3,3,33,4320797.73,11.49254,79.93293,freehold,23.88,0.44,2.52,0.25,45,Chengalpattu_Taluk_5
Chengalpattu,house,1150,2198.11,2,3,34,1791765.26,12.05474,76.84251,freehold,21.24,1.92,0.94,0.47,18,Chengalpattu_Taluk_8
Chengalpattu,flat,553,553.0,1,1,8,903290.77,8.81366,78.54975,leasehold,18.34,1.09,3.5,0.37,51,Chengalpattu_Taluk_3
Chengalpattu,flat,424,424.0,1,2,2,738579.16,9.48764,79.63382,freehold,0.56,1.94,0.23,0.5,21,Chengalpattu_Taluk_5
Chengalpattu,house,2722,4778.92,3,4,48,2579745.14,8.50662,79.36578,freehold,23.78,1.0,1.09,0.44,25,Chengalpattu_Taluk_6
Chengalpattu,plot,615,754.25,1,2,20,1130468.29,10.2307,77.50494,freehold,18.24,1.35,4.91,0.28,27,Chengalpattu_Taluk_7
Chengalpattu,commercial,1512,3404.09,2,3,25,1993003.36,13.17758,76.91172,freehold,16.91,0.28,3.02,0.11,26,Chengalpattu_Taluk_5
Chengalpattu,plot,2217,5279.47,2,2,6,3634505.19,9.29538,76.74022,freehold,17.59,0.74,4.64,0.55,59,Chengalpattu_Taluk_9
Chengalpattu,commercial,1226,1548.86,1,1,17,2327237.3,8.34487,76.64141,leasehold,1.84,1.02,2.71,0.16,48,Chengalpattu_Taluk_5
Chengalpattu,flat,1696,1696.0,3,4,23,2473066.08,10.19869,77.90984,leasehold,3.45,0.34,3.54,0.45,49,Chengalpattu_Taluk_4
Chengalpattu,commercial,3433,6599.18,4,5,43,4217328.33,12.02364,79.86457,freehold,20.2,1.17,3.38,0.52,22,Chengalpattu_Taluk_9
Chengalpattu,commercial,3169,7652.1,3,2,41,4463973.17,9.6106,79.12307,freehold,10.73,1.03,4.95,0.32,22,Chengalpattu_Taluk_10
Chengalpattu,plot,3612,4475.62,5,6,38,3863802.3,11.80267,78.56897,leasehold,1.79,0.36,0.38,0.28,53,Chengalpattu_Taluk_4
Chennai,plot,1096,1496.84,2,3,9,5610846.64,8.75966,79.72253,freehold,8.74,1.14,3.71,0.87,58,Chennai_Taluk_7
Chennai,house,2450,2868.48,3,3,29,12966614.2,9.90095,80.25752,freehold,18.03,1.26,1.53,0.68,55,Chennai_Taluk_10
Chennai,flat,2398,2398.0,2,3,48,7913522.71,11.26647,79.5896,freehold,3.55,1.92,4.03,0.91,46,Chennai_Taluk_9
Chennai,house,1338,1991.19,2,2,38,6236129.22,13.41375,80.2526,freehold,23.65,1.04,3.14,0.92,34,Chennai_Taluk_10
Chennai,house,3011,3867.7,4,5,7,21478376.83,10.03451,79.49604,freehold,16.42,1.29,2.66,0.61,19,Chennai_Taluk_2
Chennai,house,3578,4570.76,5,4,25,14742195.84,10.37319,76.93187,freehold,23.95,1.69,4.04,0.78,56,Chennai_Taluk_5
Chennai,house,1126,1951.14,1,1,34,5083430.83,9.29637,78.83741,freehold,13.36,0.67,2.67,0.96,27,Chennai_Taluk_6
Chennai,plot,2509,4368.82,3,4,31,11285110.36,13.30574,76.73114,freehold,15.76,1.55,0.37,0.76,13,Chennai_Taluk_9
Chennai,commercial,2333,4893.15,2,2,10,15775911.13,10.49524,79.91721,freehold,7.01,0.43,4.47,0.66,34,Chennai_Taluk_2
Chennai,plot,3185,6287.33,4,4,8,18155264.27,11.26097,79.20618,freehold,23.32,1.52,1.55,0.84,24,Chennai_Taluk_3
Chennai,commercial,437,790.0,1,2,4,2316840.18,10.42308,79.51377,freehold,13.55,1.93,0.73,0.86,37,Chennai_Taluk_5
Chennai,flat,1372,1372.0,1,1,39,6299073.38,10.42238,79.87475,freehold,13.14,1.83,2.94,0.93,49,Chennai_Taluk_9
Chennai,commercial,2289,4856.02,3,4,12,12180409.17,9.78776,77.68759,freehold,22.03,1.64,3.36,0.98,42,Chennai_Taluk_7
Chennai,house,3018,3705.24,3,2,12,19696349.02,8.56097,78.14113,freehold,17.59,1.42,3.17,0.75,47,Chennai_Taluk_8
Chennai,house,1099,2111.24,1,1,42,4917608.51,11.13257,77.75265,freehold,11.9,1.78,0.22,0.74,41,Chennai_Taluk_3
Chennai,house,2810,6900.68,3,3,38,10090142.2,11.34221,77.83626,freehold,20.54,1.7,2.64,0.69,48,Chennai_Taluk_7
Chennai,flat,2385,2385.0,3,2,45,8119239.31,12.67528,77.83043,freehold,14.22,0.41,2.01,0.65,33,Chennai_Taluk_8
Chennai,flat,2812,2812.0,3,3,18,16679739.67,12.459,79.71159,leasehold,13.76,1.93,1.84,0.93,24,Chennai_Taluk_5
Chennai,house,1645,3212.02,2,1,21,9950651.38,11.65229,79.13519,freehold,17.35,0.32,1.64,0.71,26,Chennai_Taluk_10
Chennai,plot,2971,4728.15,4,3,9,17690028.2,9.07959,77.04436,freehold,1.92,0.33,4.29,0.63,23,Chennai_Taluk_5
Chennai,house,1103,2365.45,1,1,11,7074270.92,9.26172,78.09536,freehold,3.69,1.56,0.32,0.75,20,Chennai_Taluk_1
Chennai,house,3504,8187.72,5,6,14,22216437.63,8.94013,79.36686,freehold,6.69,0.2,0.96,0.63,43,Chennai_Taluk_6
Chennai,commercial,3756,6685.4,5,4,34,16087984.82,10.48704,77.53803,freehold,4.51,1.63,3.53,0.65,41,Chennai_Taluk_8
Chennai,house,3601,5389.06,4,4,19,20352910.23,11.76383,78.3492,freehold,7.19,1.91,0.93,0.62,37,Chennai_Taluk_7
Chennai,house,1388,1541.74,1,2,15,8807350.8,9.72766,77.30269,freehold,24.13,1.57,2.32,0.7,10,Chennai_Taluk_7
Chennai,house,969,1076.39,2,2,14,5997713.68,12.13388,77.16764,freehold,5.41,1.76,3.63,0.88,27,Chennai_Taluk_6
Chennai,plot,1694,2034.33,3,4,7,9118486.79,12.75353,76.66075,freehold,5.49,0.36,0.94,0.97,36,Chennai_Taluk_9
Chennai,commercial,2109,4012.92,3,4,2,15128351.69,11.93129,78.08724,freehold,7.71,1.84,4.84,0.61,29,Chennai_Taluk_6
Chennai,flat,926,926.0,1,1,13,5512713.79,12.42714,78.84888,freehold,15.38,0.65,2.88,0.97,57,Chennai_Taluk_6
Chennai,commercial,1416,3231.71,2,3,21,7610698.67,9.41391,78.73771,freehold,7.09,1.64,1.69,0.76,22,Chennai_Taluk_2
Chennai,plot,3168,4467.52,4,3,17,18511596.8,12.30724,76.79024,freehold,10.19,1.95,3.67,0.81,20,Chennai_Taluk_5
